0
not correct answer:  Using the Azure storage - Queue service.
not correct answer:  Using the Azure storage - Table service.
question:  A company wants to have a data store hosted in Azure. Below are the key requirements for the data store a) The data store must be able to store JSON documents b) The data store must be able to handle data writes from multiple regions Which of the following would be the ideal data store for this requirement
not correct answer:  Azure SQL Database.
correct answer:  Azure CosmosDB.
not correct answer:  Azure Redis Cache.
not correct answer:  Azure SQL data warehouse.
"question:  A team is planning on deploying Azure Virtual Machines to a resource group named ""demogroup"". The group has been created in the US Central region. Do the virtual machines deployed to the resource group also need to be deployed to the US Central region only"
not correct answer:  Yes.
correct answer:  No.
question:  A team is planning on assigning tags to a resource group. Would the tag be inherited by resources in the resource group
not correct answer:  Yes.
correct answer:  No.
question:  A set of IAM permissions have been assigned to a resource group. Would the resources in the resource group automatically inherit the IAM permissions assigned to the resource group
correct answer:  Yes.
not correct answer:  No.
"question:  Which of the following service can be used to build, test and deploy a predictive analytics solution that could subsequently be used to deploy an Artificial Intelligence solution to Azure"
not correct answer:  Azure Functions.
not correct answer:  Azure Logic Apps.
not correct answer:  Azure Batch.
correct answer:  Azure Machine Learning Studio.
question:  Your team is planning on using the Azure Advisor tool. Would the Azure Advisor tool give recommendations on how to configure network settings for Azure virtual machines
not correct answer:  Yes.
correct answer:  No.
question:  Your team is planning on using the Azure Advisor tool. Would the Azure Advisor tool give recommendations on how to save costs when it comes to hosting virtual machines in Azure
correct answer:  Yes.
not correct answer:  No.
question:  Your team is planning on using the Azure Advisor tool. Would the Azure Advisor tool give recommendations on how to improve the security for Azure Active Directory
not correct answer:  Yes.
correct answer:  No.
question:  A support engineer currently has a computer that runs Ubuntu. Which of the following Azure Management tools could be run from this computer
correct answer:  Azure CLI.
correct answer:  Azure Powershell.
correct answer:  The Azure Portal.
"question:  Your company has just setup an Azure account and Azure Active Directory. They need to ensure that when users connect to Azure AD from the Internet from an Anonymous IP address, they are prompted to change their password automatically. Which of the following Azure service can help them achieve this requirement"
not correct answer:  Azure AD Connect.
correct answer:  Azure AD Identity Protection.
not correct answer:  Azure AD Privileged Identity Management.
not correct answer:  Azure Advanced Threat Protection.
question:  A company is planning on creating several virtual machines that will be used to host web and database servers. You need to limit the type of connections from the web and database servers. Which of the following can be used to fulfil this requirement
correct answer:  Network Security Groups.
not correct answer:  Azure AD Identity Protection.
not correct answer:  Azure VPN.
not correct answer:  Azure Route tables.
question:  Which of the following can be used to allow an organization to manage the compliance of resources across multiple subscriptions
not correct answer:  Resource Groups.
not correct answer:  Management Groups.
correct answer:  Azure Policies.
not correct answer:  Azure Resource Manager templates.
question:  Your company is planning on setting an Azure environment by setting up a subscription and Azure AD. They need to purchase a low-cost option support plan. The support plan needs to ensure 24\*7 access to support engineers by phone or email. You suggest opting for the Basic Support plan. Does this support the requirement
not correct answer:  Yes.
correct answer:  No.
question:  Your company is planning on setting an Azure environment by setting up a subscription and Azure AD. They need to purchase a low-cost option support plan. The support plan needs to ensure 24\*7 access to support engineers by phone or email. You suggest opting for the Standard Support plan. Does this support the requirement
correct answer:  Yes.
not correct answer:  No.
question:  Does Microsoft release most of the Azure services in private preview before being introduced in public preview
correct answer:      Yes.
not correct answer:      No.
question:  Is it true that Azure services released in public preview can only be managed via the Azure command line interface
not correct answer:  Yes.
correct answer:  No.
question:  Is it true that an Azure service that is released in private preview is made available to all Azure customers
not correct answer:  Yes.
correct answer:  No.
question:  Is it true that an Azure service that is released in public preview is made available to all Azure customers
correct answer:  Yes.
not correct answer:  No.
question:  Is it true that an Azure service that is released as generally available is made available to all Azure customers
correct answer:  Yes.
not correct answer:  No.
question:  Can a single Microsoft Account be used to manage multiple Azure subscriptions
correct answer:  Yes.
not correct answer:  No.
question:  Is it possible to merge subscriptions into a single subscription
not correct answer:  Yes.
not correct answer:  No.
question:  A company has just started using Azure. They have setup a subscription and started deploying resources to Azure. Would they be guaranteed a service level agreement of at least 99.9% for paid Azure services
correct answer:  Yes.
not correct answer:  No.
question:  A company has just started using Azure. They have setup a subscription and started deploying resources to Azure. Could the company increase the SLA for their resources by deploying resources across multiple regions
correct answer:  Yes.
not correct answer:  No.
question:  A company has just started using Azure. They have setup a subscription and started deploying resources to Azure. Could the company increase the SLA for their resources by purchasing multiple subscriptions
not correct answer:  Yes.
correct answer:  No.
question:  A set of virtual machines have been created in a subscription. You have now paid for a new subscription. Is it possible to move the virtual machines to the new subscription
correct answer:  Yes.
not correct answer:  No.
question:  A company has defined the following resources in Azure a) 10 Public IP addresses b) 20 users in Azure AD C) 5 user groups in Azure AD They now want to reduce the costs associated with the Azure account. Would the removal of the users from the account help reduce the cost
not correct answer:  Yes.
correct answer:  No.
question:  A company has defined the following resources in Azure a) 10 Public IP addresses b) 20 users in Azure AD c) 5 user groups in Azure AD They now want to reduce the costs associated with the Azure account. Would the removal of the user groups from the account help reduce the cost?
not correct answer:  Yes.
correct answer:  No.
question:  A company has defined the following resources in Azure a) 10 Public IP addresses b) 20 users in Azure AD c)5 user groups in Azure AD They now want to reduce the costs associated with the Azure account. Would the removal of the public IP addresses from the account help reduce the cost?
correct answer:  Yes.
not correct answer:  No.
question:  A team member currently has a laptop that is based on the Android OS. The team member wants to create a virtual machine in Azure. The team member decides to use the Azure portal to create the virtual machine. Would this suit the purpose
correct answer:  Yes.
not correct answer:  No.
question:  A team member currently has a laptop that is based on the Android OS. The team member wants to create a virtual machine in Azure. The team member decides to use the PowerApps portal to create the virtual machine. Would this suit the purpose
not correct answer:  Yes.
correct answer:  No.
question:  You need to work with Azure Cloud Shell. Which of the following icon should you choose to use this tool
correct answer:  Icon 1.
not correct answer:  Icon 2.
not correct answer:  Icon 3.
not correct answer:  Icon 4.
question:  Which of the following URL is used to manage the creation of Azure resources
not correct answer:  https://admin.azure.com
not correct answer:  https://admin.azurewebsites.com
not correct answer:  https://portal.microsoft.com
not correct answer:  https://portal.azurewebsites.com
correct answer:  https://portal.azure.com
question:  You need to create a virtual machine in Azure. Which of the following storage account service is used to store the data disks for the virtual machine
correct answer:  Blobs.
not correct answer:  Files.
not correct answer:  Tables.
not correct answer:  Queues.
question:  Your company needs to have a data store in Azure. Below are the key requirements for the data store a) The data store should be capable of storing 10TB of data b) The data would be accessed infrequently c) The data would need to be visualised using PowerBl Which of the following services could you use for this requirement? Choose 2 answers from the options given below
not correct answer:  Azure SQL database.
correct answer:  Azure SQL data warehouse.
correct answer:  Azure Data Lake.
not correct answer:  Azure CosmosDB.
question:  You need to deploy several virtual machines to Azure. You need to ensure that you can assign permissions to the virtual machines simultaneously. Which of the following can be implemented to fulfil this requirement
not correct answer:  Deploy all the virtual machines to the same region.
correct answer:  Deploy all the virtual machines to the same resource group.
not correct answer:  Deploy all the virtual machines to the same availability zone.
not correct answer:  Deploy all the virtual machines to the same scale.
question:  Which of the following is a benefit of moving on-premise servers to the Azure cloud environment
not correct answer:  The Azure platform is a public cloud platform wherein all the resources can be accessed by the public.
not correct answer:  The Azure platform is a private cloud platform wherein all the resources can be accessed only by a private handful of people.
correct answer:  The Azure platform is a shared platform wherein multiple companies can use a portion of the resources on the platform.
not correct answer:  The Azure platform is an ecommerce platform wherein users can buy and sell resources as required.
question:  You have an on-premises network that contains several servers. You plan to migrate all the servers to Azure. You need to recommend a solution to ensure that some of the servers are available if a single Azure data center goes offline for an extended period.
correct answer:  Fault tolerance.
not correct answer:  Elasticity.
not correct answer:  Scalability.
not correct answer:  Low latency.
question:  An organization that hosts its infrastructure in a private cloud can close its data center.
not correct answer:  No change is needed.
not correct answer:  In a hybrid cloud.
correct answer:  In the public cloud.
not correct answer:  On a Hyper-V host.
question:  What are two characteristics the public cloud? Each correct answer presents a complete solution.
correct answer:  Unsecured connections.
not correct answer:  Limited storage.
not correct answer:  Metered pricing.
not correct answer:  Self-service management.
question:  Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure SQL databases. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company plans to migrate all its data and resources to Azure The company's migration plan atatoa that only Platform as a Scrvice (Paas) solutions muat be uaod in Azure. You need lo deploy an Acure ernvironmenl Uhal meels tUhe company migration plan. Solution: You create an Azure App Service and Azure Storage accounts. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company hosts an accounting application named App1 that is used by all the customers of the company App1 has low usage during the first three weeks of each month and very high usage during the last week of each month. Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?
not correct answer:  High availability.
not correct answer:  High latency.
correct answer:  Elasticity.
not correct answer:  Load balancing.
question:  You plan to migrate a web application to Azure. The web application is accessed by external users. You need to recommend a cloud deployment solution to minimize the amount of administrative effort used to manage the web application. What should you include in the recommendation?
not correct answer:  Software as a Service (SaaS).
correct answer:  Platform as a Service (PaaS).
not correct answer:  Infrastructure as a Service (laaS).
not correct answer:  Database as a Service (DaaS).
question:  You have an on-premises network that contains 100 servers. You need to recommend a solution that provides additional resources to your users. The solution must minimize capital and operational expenditure costs. What should you include in the recommendation?
not correct answer:  A complete migration to the public cloud.
not correct answer:  An additional data center.
not correct answer:  A private cloud.
correct answer:  A hybrid cloud.
question:  You plan to migrate several servers from an on-premises network to Azure. What is an advantage of using a public cloud service for the servers over an on-premises network?
"not correct answer:  The public cloud is owned by the public, NOT a private corporation."
"not correct answer:  The public cloud is owned by the public, NOT a private corporation."
not correct answer:  All public cloud resources can be freely accessed by every member of the public.
correct answer:  The public cloud is a shared entity whereby multiple corporations each use a portion of the resources in the cloud.
"question:  You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines are available if a single data center fails, Solution: You deploy the virtual machines to two or more scale sets. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
question:  You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more availability zones. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more regions. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
"question:  You have 1,000 virtual machines hosted on the Hyper-V hosts in a data center. You plan to migrate all the virtual machines to an Azure pay-as-you-go subscription. You need to identify which expenditure model to use for the planned Azure solution. Which expenditure model should you identify?"
correct answer:  Operational.
not correct answer:  Elastic.
not correct answer:  Capital.
not correct answer:  Acalable.
question:  The company plans to reduce the following administrative responsibilities of network administrators: • Backing up application data _ Replacing failed server hardware Managing physical server security _ Updating server operating systems • Managing permissions to shared documents The company plans to migrate several servers to Azure virtual machines. You need to identify which administrative responsibilities will be eliminated after the planned migration. Which two responsibilities should you identify? Each correct answer presents a complete solution.
correct answer:  Replacing failed server hardware.
not correct answer:  Backing up application data.
correct answer:  Managing physical server security.
not correct answer:  Updating server operating systems.
not correct answer:  Managing permissions to shared documents.
question:  You plan to provision Infrastructure as a Service (laaS) resources in Azure. Which resource is an example of laaS?
not correct answer:  An Azure web app.
correct answer:  An Azure virtual machine.
not correct answer:  An Azure logic app.
not correct answer:  An Azure SQL database.
"question:  A team of developers at your company plans to deploy, and then remove, 50 virtual machines each week. All the virtual machines are configured by using Azure Resource Manager templates. You need to recommend which Azure service will minimize the administrative effort required to deploy and remove the virtual machines. What should you recommend?"
not correct answer:  Azure Reserved Virtual Machine (VM) Instances.
correct answer:  Azure DevTest Labs.
not correct answer:  Azure virtual machine scale sets.
not correct answer:  Microsoft Managed Desktop.
question:  You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more resource groups. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure virtual machines, Azure SQL databases, and Azure Storage accounts. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
question:  Your company plans to deploy several custom applications to Azure. The applications will provide invoicing services to the customers of the company. Each application will have several prerequisite applications and services installed. You need to recommend a cloud deployment solution for all the applications. What should you recommend?
not correct answer:  Software as a Service (SaaS).
not correct answer:  Piatform as a Service (PaaS).
correct answer:  Infrastructure as a Service (laas).
"question:  An Azure region contains one or more data centers that are connected by using a low-latency network Instructions: Review the underlined text. If it makes the statement correct, select ""No change is needed"". If the statement is incorect, select the answer choice that makes the statement correct"
correct answer:  No change is needed.
not correct answer:  Is found in each country where Microsoft has a subsidiary office.
not correct answer:  Can be found in every country in Europe and the Americas only.
not correct answer:  Contains one or more data centers that are connected by using a high-latency network.
"question:  A team of developers at your company plans to deploy, and then remove, 50 customized virtual machines each week. Thirty of the virtual machines run Windows Server 2016 and 20 of the virtual machines run Ubuntu Linux. You need to recommend which Azure service will minimize the administrative effort required to deploy and What should you recommend?"
not correct answer:  Azure Reserved Virtual Machines (VM) Instances.
not correct answer:  Azure virtual machine scale sets.
correct answer:  Azure DevTest Labs.
not correct answer:  Microsoft Managed Desktop.
"question:  One of the benefits of Azure SQL Data Warehouse is that high availability is built into the platform. Instructions: Review the underlined text. If it makes the statement correct, select ""No change is needed"". If the statement makes the statement correct. If incorrect, select the answer choice that the statement correct."
correct answer:  No change is needed.
not correct answer:  Automatic scaling.
not correct answer:  Data compression.
not correct answer:  Versioning.
question:  A support engineer plans to perform several Azure management tasks by using the Azure CLI. You install the CLI on a computer. You need to tell the support engineer which tools to use to run the CLI. Which two tools should you instruct the support engineer to use? Each correct answer presents a complete solution.
correct answer:  Command Prompt.
not correct answer:  Azure Resource Explorer.
correct answer:  Windowe PowerShell.
not correct answer:  Windows Defender Firewall.
not correct answer:  Network and Sharing Center.
question:  You plan to store 20 TB of data in Azure. The data will be accessed infrequently and visualized by using Microsoft Power BI. You need to recommend a storage solution for the data Which two solutions should you recommend? Each correct answer presents a complete solution.
correct answer:  Azure Data Lake.
not correct answer:  Azure Cosmos DB.
correct answer:  Azure SOQL Data Warehouse.
not correct answer:  Azure SQL Database.
not correct answer:  Azure Database for PostgreSQL.
question:  You need to identify the type of failure for which an Azure Availability Zone can be usod to protect access to Azure services What should you identify?
not correct answer:  A physical server failure.
not correct answer:  An Azure region failure.
not correct answer:  A storage failure.
not correct answer:  An Azure data center failure.
question:  You have a virtual machine named VM1 that runs Windows Server 2016. VM1 is in the East US Azure region. Which Azure service should you use from the Azure portal to view service failure notifications that can affect the availability of VM1?
not correct answer:  Azure Service Fabric.
not correct answer:  Azure Monitor.
correct answer:  Azure virtual machines.
not correct answer:  Azure Advisor.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script. Solution: Run the script from a computer that runs Linux and has the Azure CLI tools installed. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script. Solution: Run the script from a computer that runs Chrome OS and uses Azure Cloud Shell Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script Solution: Run the script from a computer that runs macOS and has PowerShell Core 6.0 installed. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  You have an Azure environment that contains 10 virtual networks and 100 virtual machines You need to limit the amount of inbound traffic to al the Anure virtual networke. What should you create?
not correct answer:  One application necurity group (ASG).
not correct answer:  10 virtual network gateways.
not correct answer:  10 Azure ExpressRoute circults.
correct answer:  One Azure firewal.
question:  You have an Azure environment that contains multiple Azure virtual machines. You plan to implement a solution that enables the client computers on your on-premises network to communicate to the Azure virtual machines. You need to recommend which Azure resources must be created for the planned solution. Which two Azure resources should you include in the recommendation? Each corect answer presents part of the solution.
correct answer:  A virtual network gateway.
not correct answer:  A load balancer.
not correct answer:  An application gateway.
not correct answer:  A virtual network.
correct answer:  A gateway subnet.
question:  You have an Azure environment. You need to create a new Azure virtual machine from a tablet that runs the Android operating system. Solution: You use Bash in Azure Cloud Shell. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Your company plans to move several servers to Azure. The companys compliance policy states that a server named FinServer must be on a separate network segment. You are evaluating which Azure services can be used to meet the compliance policy requirements. Which Azure solution should you recommend?
not correct answer:  A resource group for FinServer and another resource group for all the other servers.
correct answer:  A virtual network for FinServer and another virtual network for all the other servers.
not correct answer:  A VPN for FinServer and a virtual natwork gateway for aach nther server.
not correct answer:  One resource group for all the servers and a resource lock for FinServer.
question:  You plan to map a network drive from several computers that run Windows 10 to Azure Storage. You need to create a storage solution in Azure for the planned mapped drive. What should you create?
not correct answer:  An Azure SQL database.
not correct answer:  A virtual machine data disk.
correct answer:  A Files service in a storage account.
not correct answer:  A Blobs service in a storage account.
question:  Your company plans to migrate all its network resources to Azure. You need to start the planning process by exploring Azure. What should you create first?
correct answer:  A subscription.
not correct answer:  A resource group.
not correct answer:  A virtual network.
not correct answer:  A management group.
"question:  You have an on-premises application that sends email notifications automatically based on a rute, You plan to migrate the application to Azure. You need to recommend a serverless computing solution for the applicalion. What should you include in the recommendation?"
not correct answer:  A web app.
not correct answer:  A server image in Azure Marketplace.
correct answer:  A logic app.
not correct answer:  An API app.
question:  You plan to deploy a website to Azure. The website will be accessed by users worldwide and will host large video files. You need to recommend which Azure feature must be used to provide the best video playback experience. What should you recommend?
not correct answer:  An application gateway.
not correct answer:  An Azure ExpressRoute circuit.
correct answer:  A content delivery network (CDN).
not correct answer:  An Azure Traffic Manager profile.
question:  Your company plans to deploy several million sensors that will upload data to Azure. You need to identify which Azure resources must be created to support the planned solution. Which two Azure resources should you identify? Each correct answer presents part of the solution.
correct answer:  Azure Data Lake.
not correct answer:  Azure Queue storage.
not correct answer:  Azure File Storage.
correct answer:  Azure loT Hub.
not correct answer:  Azure Notification Hubs.
question:  You have an Azure web app. You need to manage the settings of the web app from an iPhone. What are two Azure management tools that you can use? Each correct answer presents a complete solution.
not correct answer:  Azure CLI.
correct answer:  The Azure portal.
correct answer:  Azure Cloud Shell.
not correct answer:  Windows PowerShell.
not correct answer:  Azure Storage Explorer.
"question:  You have an application that is comprised of an Azure web app that has a Service Level Agreement (SLA) of 99.95 percent and an Azure SQL database that has an SLA of 99.99 percent The composite SLA for the application is the product of both SLAS, which equals 99.94 percent. Instructions: Review the underlined text. If it makes the statement correct, select ""No change is needed"", If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
"not correct answer:  The lowest SLA associated to the application, which is 99.95 percent."
"not correct answer:  The highest SLA associated to the application, which is 99.99 percent."
"not correct answer:  The difference between the two SLAS, which is 0.05 percent."
"question:  Company plans to deploy an Artificial Intelligence (AI) solution in Azure. What should the company use to build, test, and deploy predictive analytics solutions?"
not correct answer:  Azure Logic Apps.
correct answer:  Azure Machine Learning Studio.
not correct answer:  Azure Batch.
not correct answer:  Azure Cosmos DB.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keya You need to create VM1 in Subscription1 by using the command. Solution: From the Azure portal, launch Azure Cloud Shell and select PowerShell. Run the command in Cloud Shell. Does this meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. PE VE Srcate Ecsource group RGI name VM1 mage UbuntuLTE --generate-ssh-keys You need to create VM1 in Subscription1 by using the command. Solution: From a computer that runs Windows 10, install Azure CLI. From PowerShell, sign in to Azure and then run the command. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. ae vm ereate resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh=keys You need to create VM1 in Subscription1 by using the command. Solution: From a computer that runs Windows 10, install Azure CLI. From a command prompt, sign in to Azure and then run the command. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script. Solution: Run the script from a computer that runs Windows 10 and has the Azure PowerShell module installed. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Which service provides serverless computing in Azure?
not correct answer:  Azure Virtual Machines.
correct answer:  Azure Functions.
not correct answer:  Azure storage account.
not correct answer:  Azure Container Instances.
