header,review_text
What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?, What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?A . It simplifies relational database administration tasks.B . It provides 99.99999999999% reliability and durability.C . It automatically scales databases for loads.D . It enabled users to dynamically adjust CPU and RAM resources. View Answer Answer: A Explanation: https://aws.amazon.com/rds/... 
Which of the following AWS Cloud services can be used to run a customer-managed relational database?, Which of the following AWS Cloud services can be used to run a customer-managed relational database?A . Amazon EC2B . Amazon Route 53C . Amazon ElastiCacheD . Amazon DynamoDB View Answer Answer: A... 
Which action should the user take?, A user is planning to launch two additional Amazon EC2 instances to increase availability. Which action should the user take?A . Launch the instances across multiple Availability Zones in a single AWS RegionB . Launch the instances as EC2 Reserved Instances in the same AWS Region and the same Availability ZoneC . Launch the...Continue reading 
Which of the following can limit Amazon Storage Service (Amazon S3) bucket access to specific users?, Which of the following can limit Amazon Storage Service (Amazon S3) bucket access to specific users?A . A public and private key-pairB . Amazon InspectorC . AWS Identity and Access Management (IAM) policiesD . Security Groups View Answer Answer: C... 
Which AWS service allows companies to connect an Amazon VPC to an on-premises data center?, Which AWS service allows companies to connect an Amazon VPC to an on-premises data center?A . AWS VPNB . Amazon RedshiftC . API GatewayD . Amazon Direct Connect View Answer Answer: A... 
Which AWS service of feature can be used to monitor CPU usage?, Which AWS service of feature can be used to monitor CPU usage?A . AWS CloudTrailB . VPC Flow LogsC . Amazon CloudWatchD . AWSConfig View Answer Answer: C... 
Which task is AWS responsible for in the shared responsibility model for security and compliance?, Which task is AWS responsible for in the shared responsibility model for security and compliance?A . Granting access to individuals and servicesB . Encrypting data in transitC . Updating Amazon EC2 host firmwareD . Updating operating systems View Answer Answer: C... 
Which of the following security-related actions are available at no cost?," Which of the following security-related actions are available at no cost?A . Calling AWS SupportB . Contacting AWS Professional Services to request a workshopC . Accessing forums, blogs, and whitepapersD . Attending AWS classes at a local university View Answer Answer: C... "
Which storage service can be used as a low-cost option for hosting static websites?, Which storage service can be used as a low-cost option for hosting static websites?A . Amazon GlacierB . Amazon DynamoDBC . Amazon Elastic File System (Amazon EFS)D . Amazon Simple Storage Service (Amazon S3) View Answer Answer: D... 
According to the AWS shared responsibility model what is the sole responsibility of AWS?, According to the AWS shared responsibility model what is the sole responsibility of AWS?A . Application securityB . Edge location managementC . Patch managementD . Client-side data View Answer Answer: B... 
Which of the following are pillars of the AWS Well-Architected Framework? (Select TWO)," Which of the following are pillars of the AWS Well-Architected Framework? (Select TWO)A . Multiple Availability ZonesB . Performance efficiencyC . SecurityD . Encryption usageE . High availability View Answer Answer: C,E... "
Which AWS service identifies security groups that allow unrestricted access to a user’s AWS resources?, Which AWS service identifies security groups that allow unrestricted access to a user’s AWS resources?A . AWS Trusted AdvisorB . Amazon InspectorC . Amazon CloudWatchD . AWS CloudTrail View Answer Answer: A... 
Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.)," Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.)A . Use manual monitoring.B . Use fixed servers.C . Implement loose coupling.D . Rely on individual components.E . Design for scalability. View Answer Answer: C,E Explanation: https://www.architech.ca/re-architect-applications/... "
"When architecting cloud applications, which of the following are a key design principle?"," When architecting cloud applications, which of the following are a key design principle?A . Use the largest instance possibleB . Provision capacity for peak loadC . Use the Scrum development processD . Implement elasticity View Answer Answer: D Explanation: https://d1.awsstatic.com/whitepapers/AWS_Cloud_Best_Practices.pdf... "
What is the MOST efficient way to apply the security patches?, A company has deployed several relational databases on Amazon EC2 instances Every month the database software vendor releases new security patches that need to be applied to the databases. What is the MOST efficient way to apply the security patches?A . Connect to each database instance on a monthly basis and download and apply...Continue reading 
Which mechanism aHows developers lo access AWS sendees from application code?, Which mechanism aHows developers lo access AWS sendees from application code?A . AWS Software Development KitB . AWS Management ConsoleC . AWS CodePipelmeD . AWS Conlig View Answer Answer: A... 
Which AWS feature will reduce the customer’s total cost of ownership (TCO)?, Which AWS feature will reduce the customer’s total cost of ownership (TCO)?A . Shared responsibility security modelB . Single tenancyC . Elastic computingD . Encryption View Answer Answer: A Explanation: https: //aws.amazon.com/compliance/shared-responsibility-model/... 
Which of the following is a benefit of using the AWS Cloud?, Which of the following is a benefit of using the AWS Cloud?A . Permissive security removes the administrative burden.B . Ability to focus on revenue-generating activities.C . Control over cloud network hardware.D . Choice of specific cloud hardware vendors. View Answer Answer: B Explanation: Developer and IT staff productivity accounted for nearly 30% of...Continue reading 
Which of the following are categories of AWS Trusted Advisor? (Select TWO.)," Which of the following are categories of AWS Trusted Advisor? (Select TWO.)A . Fault ToleranceB . Instance UsageC . InfrastructureD . PerformanceE . Storage Capacity View Answer Answer: A,D Explanation: Like your customized cloud expert, AWS Trusted Advisor analyzes your AWS environment and provides best practice recommendations in five categories: cost optimization, performance, security,...Continue reading "
What is Amazon CloudWatch?, What is Amazon CloudWatch?A . A code repository with customizable build and team commit features.B . A metrics repository with customizable notification thresholds and channels.C . A security configuration repository with threat analytics.D . A rule repository of a web application firewall with automated vulnerability prevention features. View Answer Answer: B Explanation: Amazon CloudWatch...Continue reading 
"Under the AWS shared responsibility model, which of the following activities are the customer’s responsibility? (Select TWO.)"," Under the AWS shared responsibility model, which of the following activities are the customer’s responsibility? (Select TWO.)A . Patching operating system components for Amazon Relational Database Server (Amazon RDS)B . Encrypting data on the client-sideC . Training the data center staffD . Configuring Network Access Control Lists (ACL)E . Maintaining environmental controls within a...Continue reading "
"Under the shared responsibility model, which of the following is a shared control between a customer and AWS?"," Under the shared responsibility model, which of the following is a shared control between a customer and AWS?A . Physical controlsB . Patch managementC . Zone securityD . Data center auditing View Answer Answer: B... "
"Which AWS service is used to pay AWS bills, and monitor usage and budget costs?"," Which AWS service is used to pay AWS bills, and monitor usage and budget costs?A . AWS Billing and Cost ManagementB . Consolidated billingC . Amazon CloudWatchD . Amazon GuickStght View Answer Answer: B... "
How do customers benefit from Amazon’s massive economies of scale?, How do customers benefit from Amazon’s massive economies of scale?A . Periodic price reductions as the result of Amazon’s operational efficienciesB . New Amazon EC2 instance types providing the latest hardwareC . The ability to scale up and down when neededD . Increased reliability in the underlying hardware of Amazon EC2 instances View Answer...Continue reading 
Which AWS feature allows a company to take advantage of usage tiers for services across multiple member accounts?, Which AWS feature allows a company to take advantage of usage tiers for services across multiple member accounts?A . Service control policies (SCPs)B . Consolidated billingC . All Upfront Reserved InstancesD . AWS Cost Explorer View Answer Answer: B... 
Which AWS services provide a way to extend an on-premises architecture to the aws cloud?," Which AWS services provide a way to extend an on-premises architecture to the aws cloud?A . Amazon EBSB . Amazon ConnectC . AWS Storage GatewayAWS CLOUD PRACTITIONER DUMPSD . Amazon CloudFrontE . AWS Direct Connect View Answer Answer: B,D... "
Which of the following services will automatically scale with an expected increase in web traffic?, Which of the following services will automatically scale with an expected increase in web traffic?A . AWS CodePipelineB . Elastic Load BalancingC . Amazon EBSD . AWS Direct Connect View Answer Answer: B Explanation: Reference: https://aws.amazon.com/elasticloadbalancing/ Automatically scale your applications Elastic Load Balancing provides confidence that your applications will scale to the demands of...Continue reading 
Which service provides a virtually unlimited amount of online highly durable object storage?, Which service provides a virtually unlimited amount of online highly durable object storage?A . Amazon RedshiftB . Amazon Elastic File System (Amazon EFS)C . Amazon Elastic Container Service (Amazon ECS)D . Amazon S3 View Answer Answer: D... 
Which AWS feature should a customer leverage to achieve high availability of an application?, Which AWS feature should a customer leverage to achieve high availability of an application?A . AWS Direct ConnectB . Availability ZonesC . Data centersD . Amazon Virtual Private Cloud (Amazon VPC) View Answer Answer: B Explanation: This is to achieve High Availability for any web application (in this case SwiftCode ) deployed in AWS....Continue reading 
Which AWS service or feature can enhance network security by blocking requests from a particular network for a web application on AWS? (Select TWO.)," Which AWS service or feature can enhance network security by blocking requests from a particular network for a web application on AWS? (Select TWO.)A . AWS WAFB . AWS Trusted AdvisorC . AWS Direct ConnectD . AWS OrganizationsE . Network ACLs View Answer Answer: A,C... "
Which of the following is a cloud architectural design principle?, Which of the following is a cloud architectural design principle?A . Scale up not outB . Loosely couple componentsC . Build monolithic systemsD . Use commercial database software View Answer Answer: B... 
"Which service enables risk auditing by continuously monitoring and logging account activity, including user actions in the AWS Management Console and AWS SDKs?"," Which service enables risk auditing by continuously monitoring and logging account activity, including user actions in the AWS Management Console and AWS SDKs?A . Amazon CloudWatchB . AWS CloudTrailC . AWS ConfigD . AWS Health View Answer Answer: B... "
Where can AWS compliance and certification reports be downloaded?," Where can AWS compliance and certification reports be downloaded?A . AWS ArtifactB . AWS ConciergeC . AWS Certificate ManagerD . AWS Trusted Advisor View Answer Answer: A Explanation: WS Artifact is your go-to, central resource for compliance-related information that matters to you. It provides on-demand access to AWS’s security and compliance reports and select...Continue reading "
The financial benefits of using AWS are: (Select TWO.)," The financial benefits of using AWS are: (Select TWO.)A . reduced Total Cost of Ownership (TCO).B . increased capital expenditure (capex).C . reduced operational expenditure ( opex ).D . deferred payment plans for startups.E . business credit lines for stratups . View Answer Answer: A,D... "
Which AWS service can serve a static website?," Which AWS service can serve a static website?A . Amazon S3B . Amazon Route 53C . Amazon QuickSightD . AWS X-Ray View Answer Answer: A Explanation: You can host a static website on Amazon Simple Storage Service (Amazon S3). On a static website, individual webpages include static content. They might also contain client-side scripts....Continue reading "
What are the benefits of using the AWS Cloud for companies with customers in many countries around the world (Select TWO), What are the benefits of using the AWS Cloud for companies with customers in many countries around the world (Select TWO)A . Companies can deploy applications in multiple AWS Regions to reduce latencyB . Amazon Translate automatically translates third-party website interfaces into multiple languagesC . Amazon CloudFront has multiple edge locations around the world...Continue reading 
Which of the following are main components of the AWS global infrastructure? (Select TWO)," Which of the following are main components of the AWS global infrastructure? (Select TWO)A . Resource groupsB . Availability ZonesC . Security groupsD . RegionsE . Amazon Machine Images (AMIS) View Answer Answer: B,E... "
What is the AWS customer responsible for according to the AWS shared responsibility model?, What is the AWS customer responsible for according to the AWS shared responsibility model?A . Physical access controlsB . Data encryptionC . Secure disposal of storage devicesD . Environmental risk management View Answer Answer: B... 
"If each department within a company has its own AWS account, what is one way to enable consolidated billing?"," If each department within a company has its own AWS account, what is one way to enable consolidated billing?A . Use AWS Budgets on each account to pay only to budget.B . Contact AWS Support for a monthly bill.C . Create an AWS Organization from the payer account and invite the other accounts to...Continue reading "
What costs are included when comparing AWS Total Cost of Ownership (TCO) with on-premises TCO?, What costs are included when comparing AWS Total Cost of Ownership (TCO) with on-premises TCO?A . Project managementB . Antivirus software licensingC . Data center securityD . Software development View Answer Answer: A Explanation: https: //media.amazonwebservices.com/AWS_TCO_Web_Applications.pdf... 
"What is the benefit of using AWS managed services, such as Amazon ElastiCache and Amazon Relational Database Service (Amazon RDS)?"," What is the benefit of using AWS managed services, such as Amazon ElastiCache and Amazon Relational Database Service (Amazon RDS)?A . They require the customer to monitor and replace failing instances.B . They have better performance than customer-managed services.C . They simplify patching and updating underlying OSs.D . They do not require the customer...Continue reading "
Which services can be used across hybrid AWS Cloud architectures? (Select TWO.)," Which services can be used across hybrid AWS Cloud architectures? (Select TWO.)A . Amazon Route 53B . Virtual Private GatewayC . Classic Load BalancerD . Auto ScalingE . Amazon CloudWatch default metrics View Answer Answer: A,B Explanation: https: //aws.amazon.com/blogs/networking-and-content-delivery/centralized-dns-management-of-hybrid-cloud-with-amazon-route-53-and-aws-transit-gateway/ AWS released Amazon Route 53 Resolver for hybrid cloud in November 2018. This makes migration...Continue reading "
Which statement best describes Elastic Load Balancing?, Which statement best describes Elastic Load Balancing?A . It translates a domain name into an IP address using DNC . It distributes incoming application traffic across one or more Amazon EC2 instances.D . It collects metrics on connected Amazon EC2 instances.E . It automatically adjusts the number of Amazon EC2 instances to support incoming...Continue reading 
Which of the following is a fast and reliable NoSQL database service?, Which of the following is a fast and reliable NoSQL database service?A . Amazon RedshiftB . Amazon RDSC . Amazon DynamoDBD . Amazon S3 View Answer Answer: C... 
Which AWS service would you use to obtain compliance reports and certificates?," Which AWS service would you use to obtain compliance reports and certificates?A . AWS ArtifactB . AWS LambdaC . Amazon InspectorD . AWS Certificate Manager View Answer Answer: A Explanation: AWS Artifact is your go-to, central resource for compliance-related information that matters to you. It provides on-demand access to AWS’ security and compliance reports...Continue reading "
Which AWS services are defined as global instead of regional? (Select TWO.)," Which AWS services are defined as global instead of regional? (Select TWO.)A . Amazon Route 53B . Amazon EC2C . Amazon S3D . Amazon CloudFrontE . Amazon DynamoDB View Answer Answer: A,D... "
How would an AWS customer easily apply common access controls to a large set of users?, How would an AWS customer easily apply common access controls to a large set of users?A . Apply an IAM policy to an IAM group.B . Apply an IAM policy to an IAM role.C . Apply the same IAM policy to all IAM users with access to the same workload.D . Apply an IAM...Continue reading 
Which of the following is an important architectural design principle when designing cloud applications?, Which of the following is an important architectural design principle when designing cloud applications?A . Use multiple Availability Zones.B . Use tightly coupled components.C . Use open source software.D . Provision extra capacity. View Answer Answer: A Explanation: Data Center resilience is practiced through Availability Zones across data centers that reduce the impact of...Continue reading 
Which service allows a company with multiple AWS accounts to combine its usage to obtain volume discounts?, Which service allows a company with multiple AWS accounts to combine its usage to obtain volume discounts?A . AWS Server Migration ServiceB . AWS OrganizationsC . AWS BudgetsD . AWS Trusted Advisor View Answer Answer: B Explanation: use the consolidated billing feature in AWS Organizations to consolidate billing and payment for multiple AWS accounts...Continue reading 
Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.)," Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.)A . AWS ConciergeB . AWS CloudFormationC . Amazon Simple Storage Service (Amazon S3)D . Amazon EC2 Auto ScalingE . AWS Management Console View Answer Answer: B,E... "
Which of the following Reserved Instance (RI) pricing models provides the highest average savings compared to On-Demand pricing?," Which of the following Reserved Instance (RI) pricing models provides the highest average savings compared to On-Demand pricing?A . One-year, No Upfront, Standard RI pricingB . One-year, All Upfront, Convertible RI pricingC . Three-year, All Upfront, Standard RI pricingD . Three-year, No Upfront, Convertible RI pricing View Answer Answer: C... "
Which of the following are features of Amazon CloudWatch Logs? (Select TWO.)," Which of the following are features of Amazon CloudWatch Logs? (Select TWO.)A . Summaries by Amazon Simple Notification Service (Amazon SNS)B . Free Amazon Elasticsearch Service analyticsC . Provided at no chargeD . Real-time monitoringE . Adjustable retention View Answer Answer: D,E Explanation: https://aws.amazon.com/cloudwatch/faqs/... "
Which of the following is an AWS-managed compute service?, Which of the following is an AWS-managed compute service?A . Amazon SWFB . Amazon EC2C . AWS LambdaD . Amazon Aurora View Answer Answer: B... 
Which service would meet that need by enabling serverless architectures?, A company wants to reduce the physical compute footprint that developers use to run code. Which service would meet that need by enabling serverless architectures?A . Amazon Elastic Compute Cloud (Amazon EC2)B . AWS LambdaC . Amazon DynamoDBD . AWS CodeCommit View Answer Answer: B Explanation: AWS Lambda is an integral part of coding...Continue reading 
Which of the following is the customer’s responsibility under the AWS shared responsibility model?, Which of the following is the customer’s responsibility under the AWS shared responsibility model?A . Patching underlying infrastructureB . Physical securityC . Patching Amazon EC2 instancesD . Patching network infrastructure View Answer Answer: C... 
According to the AWS shared responsibility model who ts responsible for configuration management?, According to the AWS shared responsibility model who ts responsible for configuration management?A . It is solely the responsibility of the customerB . It is solely the responsibility of AWSC . It is shared between AWS and the customerD . It is not part of the AWS shared responsibility model View Answer Answer: C... 
Which security service automatically recognizes and classifies sensitive data or intellectual property on AWS?, Which security service automatically recognizes and classifies sensitive data or intellectual property on AWS?A . Amazon GuardDutyB . Amazon MacieC . Amazon InspectorD . AWS Shield View Answer Answer: A... 
Which of the following BEST describe the AWS pricing model? (Select TWO)," Which of the following BEST describe the AWS pricing model? (Select TWO)A . Fixed-termB . Pay-as-you-goC . ColocationD . PlannedE . Variable cost View Answer Answer: B,E... "
"Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO.)"," Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO.)A . Ensuring that application data is encrypted at restB . Ensuring that AWS NTP servers are set to the correct timeC . Ensuring that users have received security training in the use of AWS servicesD...Continue reading "
How can the customer take advantage of volume discounts with minimal impact to the AWS resources?, A customer is using multiple AWS accounts with separate billing. How can the customer take advantage of volume discounts with minimal impact to the AWS resources?A . Create one global AWS acount and move all AWS resources to tha account.B . Sign up for three years of Reserved Instance pricing up front.C . Use...Continue reading 
Which Amazon EC2 pricing model offers the MOST significant discount when compared to OnDemand Instances?, Which Amazon EC2 pricing model offers the MOST significant discount when compared to OnDemand Instances?A . A Partial Upfront Reserved Instances for a 1-year termB . All Upfront Reserved instances for a 1 year formC . All Upfront Reserved Instances for a 3 year termD . No Upfront Reserved Instances for a 3 year...Continue reading 
Which AWS services should be used for read/write of constantly changing data? (Select TWO.)," Which AWS services should be used for read/write of constantly changing data? (Select TWO.)A . Amazon GlacierB . Amazon RDSC . AWS SnowballD . Amazon RedshiftE . Amazon EFS View Answer Answer: B,E Explanation: https: //aws.amazon.com/efs/?nc2=type_a... "
Which AWS service allows users to identify the changes made to a resource over time?, Which AWS service allows users to identify the changes made to a resource over time?A . Amazon InspectorB . AWS ConfigC . AWS Service CatalogD . AWS IAM View Answer Answer: B... 
"According to best practices, how should an application be designed to run in the AWS Cloud?"," According to best practices, how should an application be designed to run in the AWS Cloud?A . Use tighly coupled components.B . Use loosely coupled components.C . Use infrequently coupled components.D . Use frequently coupled components. View Answer Answer: B... "
Which benefits are included with the AWS Business Support plan? (Select TWO), Which benefits are included with the AWS Business Support plan? (Select TWO)A . 24/7 assistance by way of live chat or a telephone callB . Support from a dedicated AWS Technical Account ManagerC . An unlimited number of cases and contactsD . 15-minute response time for production system interruption casesE . Annual operational reviews...Continue reading 
Which of the following is an AWS managed Domain Name System (DNS) web service?, Which of the following is an AWS managed Domain Name System (DNS) web service?A . Amazon Route 53B . Amazon NeptuneC . Amazon SageMakerD . Amazon Lightsail View Answer Answer: A... 
When Amazon EC2 instance pricing option will meet these requirements?, A user must meet compliance and software licensing requirements that state a workload must be hosted on a physical server. When Amazon EC2 instance pricing option will meet these requirements?A . Dedicated HostsB . Dedicated InstancesC . Spot InstancesD . Reserved Instances View Answer Answer: A... 
Which of the Reserved Instance (RI) pricing models can change the attributes of the RI as long as the exchange results in the creation of RIs of equal or greater value?, Which of the Reserved Instance (RI) pricing models can change the attributes of the RI as long as the exchange results in the creation of RIs of equal or greater value?A . Dedicated RIsB . Scheduled RIsC . Convertible RIsD . Standard RIs View Answer Answer: C... 
"Which service is best for storing common database query results, which helps to alleviate database access load?"," Which service is best for storing common database query results, which helps to alleviate database access load?A . Amazon Machine LearningB . Amazon SQSC . Amazon ElastiCacheD . Amazon EC2 Instance Store View Answer Answer: C Explanation: Amazon ElastiCache for Redis is a great choice for implementing a highly available, distributed, and secure in-memory...Continue reading "
When should a company consider using Amazon EC2 Spot Instances? (Select TWO)," When should a company consider using Amazon EC2 Spot Instances? (Select TWO)A . For non-production applicationsB . For stateful workloadsC . For applications that cannot have interruptionsD . For fault-tolerant flexible applicationsE . For sensitive database applications View Answer Answer: A,D... "
Which AWS tools assist with estimating costs? (Select three.)," Which AWS tools assist with estimating costs? (Select three.)A . Detailed billing reportB . Cost allocation tagsC . AWS Simple Monthly CalculatorD . AWS Total Cost of Ownership (TCO) CalculatorE . Cost Estimator View Answer Answer: B,C,D Explanation: https://aws.amazon.com/premiumsupport/knowledge-center/estimating-aws-resource-costs/... "
A company wants to focus on business activities instead of managing compute and capacity., A company wants to focus on business activities instead of managing compute and capacity. Which AWS service can be used to automatically add or remove Amazon EC2 instances based on demand)A . Elastic Load BalancerB . Amazon EC2 Auto ScalingC . Amazon Route 53D . Amazon CloudFront View Answer Answer: B... 
Which is the minimum AWS Support plan that includes Infrastructure Event Management without additional costs?, Which is the minimum AWS Support plan that includes Infrastructure Event Management without additional costs?A . EnterpriseB . BusinessC . DeveloperD . Basic View Answer Answer: A Explanation: https: //aws.amazon.com/premiumsupport/plans/... 
Access keys in AWS Identity and Access Management (IM1) are used to, Access keys in AWS Identity and Access Management (IM1) are used toA . log in to the AWS Management ConsoleB . make programmatic calls to AWS from AWS APIsC . log in to Amazon EC2 instancesD . authenticate to AWS CodeCommit repositories View Answer Answer: B... 
Which AWS service can be used to query stored datasets directly from Amazon S3 using standard SQL?, Which AWS service can be used to query stored datasets directly from Amazon S3 using standard SQL?A . AWS GlueB . AWS Data PipelineC . Amazon CloudSearchD . Amazon Athena View Answer Answer: D... 
How does AWS shorten the time to provision IT resources?, How does AWS shorten the time to provision IT resources?A . It supplies an online IT ticketing platform for resource requests.B . It supports automatic code validation services.C . It provides the ability to programmatically provision existing resources.D . It automates the resource request process from a company’s IT vendor list. View Answer Answer:...Continue reading 
Which AWS services can be used to gather information about AWS account activity? (Select TWO.)," Which AWS services can be used to gather information about AWS account activity? (Select TWO.)A . Amazon CloudFrontB . AWS Cloud9C . AWS CloudTrailD . AWS CloudHSME . Amazon CloudWatch View Answer Answer: A,E Explanation: AWS offers a solution that uses AWS CloudTrail to log account activity, Amazon Kinesis to compute and stream metrics...Continue reading "
Which of the following are characteristics of Amazon S3? (Select TWO.)," Which of the following are characteristics of Amazon S3? (Select TWO.)A . A global file systemB . An object storeC . A local file storeD . A network file systemE . A durable storage system View Answer Answer: B,E Explanation: Build scalable, durable, and secure backup and restore solutions with Amazon S3 and other...Continue reading "
Which tool is suitable for this scenario?, A user wants guidance on possible savings when migrating from on-premises to AWS. Which tool is suitable for this scenario?A . AWS BudgetsB . Cost ExplorerC . AWS Total Cost of Ownership (TCO) CalculatorD . AWS Well-Architected Tool View Answer Answer: C... 
Which of the following services is in the category of AWS serverless platform?, Which of the following services is in the category of AWS serverless platform?A . Amazon EMRB . Elastic Load BalancingC . AWS LambdaD . AWS Mobile Hub View Answer Answer: C Explanation: AWS provides a set of fully managed services that you can use to build and run serverless applications. Serverless applications don’t require...Continue reading 
The use of what AWS feature or service allows companies to track and categorize spending on a detailed level?, The use of what AWS feature or service allows companies to track and categorize spending on a detailed level?A . Cost allocation tagsB . Consolidated billingC . AWS BudgetsD . AWS Marketplace View Answer Answer: A Explanation: https: //docs.aws.amazon.com/it_it/marketplace/latest/buyerguide/cost-allocation-tagging-ami-marketplace.html... 
Which of the following inspects AWS environments to find opportunities that can save money for users and also improve system performance?, Which of the following inspects AWS environments to find opportunities that can save money for users and also improve system performance?A . AWS Cost ExplorerB . AWS Trusted AdvisorC . Consolidated billingD . Detailed billing View Answer Answer: B... 
What term would describe this model?, Web servers running on Amazon EC2 access a legacy application running in a corporate data center. What term would describe this model?A . Cloud-nativeB . Partner networkC . Hybrid architectureD . Infrastructure as a service View Answer Answer: C... 
What technology enables compute capacity to adjust as loads change?," What technology enables compute capacity to adjust as loads change?A . Load balancingB . Automatic failoverC . Round robinD . Auto Scaling View Answer Answer: D Explanation: AWS Auto Scaling monitors your applications and automatically adjusts capacity to maintain steady, predictable performance at the lowest possible cost. Using AWS Auto Scaling, it’s easy to...Continue reading "
Which AWS service is a managed NoSQL database?, Which AWS service is a managed NoSQL database?A . Amazon RedshiftB . Amazon DynamoDBC . Amazon AuroraD . Amazon RDS for ManaDB View Answer Answer: B... 
"Which of the following is a correct relationship between regions, Availability Zones, and edge locations?"," Which of the following is a correct relationship between regions, Availability Zones, and edge locations?A . Data centers contain regions.B . Regions contain Availability Zones.C . Availability Zones contain edge locations.D . Edge locations contain regions. View Answer Answer: B... "
What approach to transcoding a large number of individual video files adheres to AWS architecture principles?, What approach to transcoding a large number of individual video files adheres to AWS architecture principles?A . Using many instances in parallelB . Using a single large instance during off-peak hoursC . Using dedicated hardwareD . Using a large GPU instance type View Answer Answer: A... 
Which AWS services can host a Microsoft SQL Server database? (Select TWO.)," Which AWS services can host a Microsoft SQL Server database? (Select TWO.)A . Amazon EC2B . Amazon Relational Database Service (Amazon RDS)C . Amazon AuroraD . Amazon RedshiftE . Amazon S3 View Answer Answer: A,B... "
Which AWS IAM feature allows developers to access AWS services through the AWS CLI?, Which AWS IAM feature allows developers to access AWS services through the AWS CLI?A . API keysB . Access keysC . User names/PasswordsD . SSH keys View Answer Answer: B Explanation: https: //docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys.html Access keys are long-term credentials for an IAM user or the AWS account root user. You can use access keys to...Continue reading 
The user is fully responsible for which action when running workloads on aws ?, The user is fully responsible for which action when running workloads on aws ?A . Patching the infrastructure componentsB . Maintaining the underlying infrastructure componentsC . Maintaining physical and environmental controlsD . Implementing controls to route application traffic View Answer Answer: A... 
Which AWS support plan includes a dedicated Technical Account Manager?, Which AWS support plan includes a dedicated Technical Account Manager?A . DeveloperB . EnterpriseC . BusinessD . Basic View Answer Answer: B Explanation: The enterprise support plans supports technical account manager. Developer and business support plans are devoid of this facility.... 
